stupid,smart,algorithm,map,duration,victory,score
0,3,1,1,14.7,1,417
0,3,1,2,4.74,1,510
0,3,1,1,12.3,1,431
0,3,1,2,4.90,1,553
0,3,1,2,4.97,1,501
0,3,1,2,5.94,1,468
0,3,1,2,4.69,1,463
0,3,1,1,10.8,1,441
0,3,1,1,10.3,1,446
0,3,1,1,10.8,1,441
0,3,1,1,12.1,1,420
0,3,1,1,10.6,1,444
0,3,1,2,5.39,1,535
0,3,1,2,3.83,1,611
0,3,1,2,6.33,1,369
0,3,1,2,4.70,1,462
0,3,1,1,10.90,1,493
0,3,1,2,5.00,1,499
0,3,1,2,6.13,1,512
0,3,1,1,11.83,1,451
0,3,1,2,6.43,1,505
